episode,local_start,mean_predicted_latent_mse,mean_predicted_block_error_px,terminal_latent_mse,terminal_block_error_px,terminal_block_angle_error_deg,terminal_transition_category
453,28,0.012337834108620882,3.523060917854309,0.017741596326231956,6.492010116577148,0.6957708597183228,free_motion
721,14,0.00855524381622672,7.156320381164551,0.01706952601671219,5.016839504241943,4.372154235839844,free_motion
1161,11,0.01867196187376976,6.308718538284301,0.04636954516172409,3.708635091781616,0.4054878354072571,effective_push
1251,32,0.02078083259984851,2.9825982093811034,0.03202056139707565,4.834475517272949,3.2225754261016846,effective_push
1625,73,0.013923357240855694,3.0930460929870605,0.017950279638171196,1.5743372440338135,0.4713001251220703,effective_push
1688,85,0.02162088858895004,22.229757499694824,0.06127498671412468,57.24940872192383,74.7008056640625,effective_push
1766,2,0.011636174470186233,3.6829708576202393,0.023215776309370995,6.326676845550537,4.77570915222168,effective_push
1768,31,0.02240049634128809,6.054567003250122,0.03976503014564514,5.08511209487915,1.4896984100341797,contact_no_motion
1775,24,0.09051817748695612,6.650027513504028,0.28284716606140137,16.155614852905273,1.064905047416687,effective_push
2011,16,0.04093560557812452,10.98238296508789,0.07977238297462463,18.210786819458008,6.7856974601745605,effective_push
2012,11,1.1860118746757506,64.45087509155273,1.83111572265625,88.60094451904297,12.362724304199219,contact_no_motion
2520,8,0.03158923704177141,13.657661151885986,0.054886624217033386,25.565689086914062,22.660219192504883,effective_push
2540,28,0.016531534399837254,4.948194885253907,0.033390410244464874,6.7399797439575195,0.26381605863571167,free_motion
2579,28,0.018285372853279115,5.137044835090637,0.03587203472852707,8.386552810668945,0.7499684691429138,free_motion
2828,43,0.010010532476007939,6.919944906234742,0.013609007000923157,3.4280707836151123,0.8235569000244141,effective_push
3306,40,0.027299800887703896,7.573246574401855,0.05464854836463928,9.246943473815918,7.194859981536865,effective_push
3472,4,0.006282720947638154,4.4527528285980225,0.010211383923888206,7.140867710113525,2.89959716796875,effective_push
3495,42,0.022074487153440715,4.408885335922241,0.046276919543743134,5.5124335289001465,0.4912169575691223,effective_push
3668,68,0.01026783576235175,4.605087423324585,0.01191850658506155,2.1635005474090576,0.8418139815330505,free_motion
3682,58,0.032923124730587006,7.757766532897949,0.03302433341741562,5.176838397979736,1.0330866575241089,contact_no_motion
3762,4,0.013928110152482987,4.275067901611328,0.02445877343416214,5.539731979370117,2.3538198471069336,effective_push
3876,16,0.007519674301147461,8.326314353942871,0.005808275192975998,8.073318481445312,2.4167532920837402,effective_push
3919,69,0.00885909553617239,33.134194946289064,0.013001689687371254,35.12516403198242,20.022235870361328,free_motion
4331,30,0.014962097071111203,11.365592765808106,0.015365783125162125,9.785078048706055,3.27630352973938,free_motion
4333,39,0.03016818091273308,6.31698956489563,0.04050832986831665,8.480053901672363,4.665675163269043,free_motion
4348,4,0.013911844044923783,4.583587884902954,0.036736324429512024,8.281492233276367,3.471020221710205,effective_push
4394,24,0.009716702532023192,4.2411689281463625,0.010014090687036514,8.128410339355469,1.4658405780792236,free_motion
4475,14,0.010565328504890203,5.075448012351989,0.011480271816253662,6.314501762390137,0.0742655023932457,effective_push
4501,13,0.009811059292405843,4.653533887863159,0.01579248532652855,7.1840901374816895,0.03419363498687744,effective_push
4547,19,0.006120922928676009,6.241649436950683,0.00843687355518341,8.557228088378906,1.601354956626892,effective_push
4616,6,0.02211694559082389,3.0231920957565306,0.031665824353694916,4.88677453994751,1.9335378408432007,free_motion
4835,105,0.009971012035384775,38.64042205810547,0.017664512619376183,38.0908317565918,12.697021484375,free_motion
4981,40,0.008044876810163259,5.455647945404053,0.01162724755704403,4.784180164337158,1.4405415058135986,effective_push
5172,24,0.008895115181803703,3.8273322343826295,0.010469968430697918,3.901674270629883,1.7558358907699585,effective_push
5223,39,0.014316135458648205,3.6454322695732118,0.02460343763232231,6.271761894226074,4.611351013183594,free_motion
5274,29,0.01744689717888832,3.3686832427978515,0.027582034468650818,2.7836668491363525,1.9926462173461914,free_motion
5379,29,0.00875099990516901,7.1069639205932615,0.011044500395655632,10.62882137298584,5.13785982131958,effective_push
5689,59,0.03328552506864071,3.323511743545532,0.045985471457242966,2.191941976547241,3.264031410217285,free_motion
5690,12,0.021661404706537723,8.199893951416016,0.04497823119163513,4.919269561767578,1.4283428192138672,effective_push
6165,13,0.023904949333518742,8.294120597839356,0.046902161091566086,11.779905319213867,6.072680473327637,effective_push
6191,17,0.01788300909101963,7.2409592628479,0.037886083126068115,10.327840805053711,4.514044761657715,effective_push
6250,27,0.037453500740230086,5.123859930038452,0.11423520743846893,7.347648620605469,3.1917576789855957,effective_push
6468,69,0.016944669932127,3.943732500076294,0.018537349998950958,4.164506435394287,0.544854462146759,free_motion
6834,42,0.02919551758095622,4.335226202011109,0.05254368111491203,7.268821716308594,4.365317344665527,free_motion
6968,11,0.1044432483613491,15.852634048461914,0.19670739769935608,6.810790061950684,15.103078842163086,free_motion
7036,24,0.39442338403314353,10.283908271789551,1.1182913780212402,11.95645523071289,72.16165924072266,free_motion
7278,15,0.008503824076615273,8.417176532745362,0.020650342106819153,7.021173000335693,2.737239360809326,effective_push
7389,69,0.00969415418803692,3.55112771987915,0.020274212583899498,3.2003183364868164,0.1082858219742775,effective_push
7501,17,0.015137012116611004,6.269531536102295,0.022001078352332115,9.527024269104004,0.32623717188835144,free_motion
7529,101,0.026252098754048346,4.472391867637635,0.041756585240364075,4.872132301330566,0.2447700798511505,effective_push
7793,21,0.0223401072435081,2.8104190468788146,0.0614355206489563,3.8913931846618652,0.060334477573633194,free_motion
8328,98,0.03302852287888527,16.972178649902343,0.051149558275938034,23.8164119720459,11.65806770324707,free_motion
8535,60,0.006987639702856541,1.378105390071869,0.011730398051440716,0.8351985812187195,0.047562021762132645,free_motion
8574,18,0.028776307962834834,12.641348457336425,0.05026558041572571,10.676801681518555,2.136274814605713,free_motion
8611,46,0.012842386029660702,5.257043552398682,0.019348014146089554,5.842998504638672,2.413396120071411,effective_push
8804,91,0.019142350740730764,4.639759302139282,0.03209765627980232,1.3173062801361084,4.765880584716797,free_motion
8880,4,0.055914936540648344,11.85791015625,0.171089768409729,20.980546951293945,24.529613494873047,free_motion
8904,10,0.008529851213097572,5.598944854736328,0.01467074453830719,7.481295108795166,2.256967782974243,free_motion
8913,54,0.026961573865264654,8.607044124603272,0.06003612279891968,15.53858470916748,0.261514276266098,effective_push
9013,22,0.019255996122956275,3.388544702529907,0.054834045469760895,7.814192771911621,0.184510737657547,effective_push
9059,14,0.01667824564501643,4.949878406524658,0.029571369290351868,5.389936447143555,0.6293336153030396,free_motion
9320,43,0.011629645619541407,4.381772351264954,0.021324491128325462,6.643357276916504,0.5914841294288635,effective_push
