analysis,block_angle_decoder_ceiling_deg,block_angle_error_deg,block_angle_excess_error_deg,block_decoder_ceiling_px,block_error_px,block_excess_error_px,branch_executed,cem_seed,comparison_note,decision_action_offset,decision_index,episode,horizon_actions,latent_block,latent_mse,pusher_decoder_ceiling_px,pusher_error_px,pusher_excess_error_px,real_frame_index,receding_horizon,start_step
decision_forecast,2.6666850484257347,0.2669631623647822,-2.3997218860609526,3.118853146720191,5.023096928127591,1.9042437814073994,True,42,,0,0,2828,5,1,0.006157655268907547,8.074843990645675,3.324354969399999,-4.750489021245676,5,5,43
decision_forecast,0.21589865306497263,2.4324589632741906,2.216560310209218,0.9483392599023825,0.7251370460654597,-0.22320221383692285,True,42,,0,0,2828,10,2,0.012278464622795582,4.996454690772379,3.2123092957604236,-1.7841453950119552,10,5,43
decision_forecast,0.39825181444123364,5.580404011367688,5.182152196926454,4.640892044635123,5.225618529605317,0.5847264849701936,True,42,,0,0,2828,15,3,0.02146480418741703,5.724872014071768,6.883114068157087,1.1582420540853189,15,5,43
decision_forecast,0.7039613015207267,6.705947004486027,6.0019857029653,6.356236460040021,6.784734675850943,0.4284982158109214,True,42,,0,0,2828,20,4,0.0626010075211525,6.899967913020197,7.39285895843328,0.4928910454130824,20,5,43
decision_forecast,0.31067245925219006,10.888531785337577,10.577859326085386,10.48209254677899,10.81542131106718,0.3333287642881899,True,42,,0,0,2828,25,5,0.15565188229084015,4.764651873306729,22.106425947356595,17.341774074049866,25,5,43
decision_forecast,4.471432456327197,6.962375125874168,2.4909426695469703,7.873521068814236,11.90647569724768,4.032954628433444,True,42,,25,1,2828,5,1,0.03426317498087883,20.291919363187144,9.61989292500995,-10.672026438177195,30,5,43
decision_forecast,3.851032713636599,8.820432466927757,4.9693997532911585,6.3971798937159,12.194269244675418,5.797089350959518,True,42,,25,1,2828,10,2,0.05446837469935417,34.20800377490493,16.51099879344021,-17.697004981464723,35,5,43
decision_forecast,4.7483829667928745,8.713744912092157,3.965361945299282,7.311759493242706,12.510877848807468,5.199118355564762,True,42,,25,1,2828,15,3,0.043524544686079025,13.068143942703616,12.900830672902194,-0.16731326980142214,40,5,43
decision_forecast,3.3318563744455902,7.289322621064338,3.957466246618748,10.422675422433496,14.959812225280718,4.537136802847222,True,42,,25,1,2828,20,4,0.044807106256484985,9.595295714168342,21.368297763332876,11.773002049164534,45,5,43
decision_forecast,2.2200381813509145,7.914366892390545,5.69432871103963,11.876848343226165,19.056212912171464,7.179364568945299,True,42,,25,1,2828,25,5,0.050161074846982956,9.351361681386914,24.865383875188115,15.514022193801202,50,5,43
