episode,start_step,success,decisions,decision_action_offsets,cem_rollouts_per_episode,final_plan_inferences_per_episode,model_rollouts_total_per_episode,planning_seconds_per_decision_estimate,planning_seconds_episode_estimate,action_plan_exact_match,final_block_position_error_px,final_block_angle_error_deg,final_normalized_goal_error,compact_trace_decision_0,compact_trace_decision_1,compact_trace_decision_0_sha256,compact_trace_decision_1_sha256,pusher_x_min,pusher_x_max,pusher_y_min,pusher_y_max,velocity_x_min,velocity_x_max,velocity_y_min,velocity_y_max,out_of_bounds_frames,out_of_bounds_frames_total,first_out_of_bounds_action_index,out_of_bounds_at_final_frame,out_of_bounds_components
3876,16,True,2,"[0, 25]",18000,2,18002,"[5.371210915500114, 5.269433117500057]",10.640644033000171,True,9.066118705954892,3.5442036244818738,0.9453707016546092,research/results/cem_demo_compact/compact_trace_decision_0000_env_1.npz,research/results/cem_demo_compact/compact_trace_decision_0001_env_1.npz,3cf8ff0e18575fb8d103c109d9226893d5843dbfb072fc230922974551c47ec6,364cf1e3b88af7412a12ea326634f43ebf725242d551d3945bb2da7e5a2ce576,37.045813448429094,131.61473083496094,84.77218627929688,228.11703960180265,-144.99440002441406,126.58804321289062,-118.14527893066406,246.17127990722656,42,51,0,True,"[5, 6]"
1766,2,False,2,"[0, 25]",18000,2,18002,"[5.371210915500114, 5.269433117500057]",10.640644033000171,True,13.259440436535264,4.829506077561323,1.6602914056531013,research/results/cem_demo_compact/compact_trace_decision_0000_env_0.npz,research/results/cem_demo_compact/compact_trace_decision_0001_env_0.npz,ffba81c57fc8e42b2ff29e693dd6c6f2a56c367c744cb23d45594ddcff0cf324,9cece661a107815d33fb0cc267d296464aaeac86cc430a68aa4eae20fb94e640,27.267242813110318,116.36041842460628,251.01904296875,500.3396614646914,-239.19418334960938,141.70762634277344,-116.93971252441406,234.77908325195312,40,51,0,True,"[5, 6]"
