action_plan_exact_match,cem_seed,decisions,environment_seed,episode,model_rollouts_cem,model_rollouts_final_inference,planning_mean_seconds_per_mpc_call_per_environment,planning_total_seconds_per_environment,receding_horizon,start_step,success
True,42,2,unavailable,2828,18000,2,4.0930501066250145,8.186100213250029,5,43,True
True,42,2,unavailable,3876,18000,2,4.0930501066250145,8.186100213250029,5,16,True
True,42,2,unavailable,4981,18000,2,4.0930501066250145,8.186100213250029,5,40,True
True,42,2,unavailable,5172,18000,2,4.0930501066250145,8.186100213250029,5,24,True
True,42,2,unavailable,1625,18000,2,4.0440085832499335,8.088017166499867,5,73,True
True,42,2,unavailable,11537,18000,2,4.0440085832499335,8.088017166499867,5,66,True
True,42,2,unavailable,14783,18000,2,4.0440085832499335,8.088017166499867,5,32,True
True,42,2,unavailable,15290,18000,2,4.0440085832499335,8.088017166499867,5,38,True
True,42,2,unavailable,1251,18000,2,4.046353727499763,8.092707454999527,5,32,True
True,42,2,unavailable,1766,18000,2,4.046353727499763,8.092707454999527,5,2,False
True,42,2,unavailable,2579,18000,2,4.046353727499763,8.092707454999527,5,28,True
True,42,2,unavailable,12617,18000,2,4.046353727499763,8.092707454999527,5,72,False
True,42,2,unavailable,1768,18000,2,4.016955942875029,8.033911885750058,5,31,True
True,42,2,unavailable,5689,18000,2,4.016955942875029,8.033911885750058,5,59,True
True,42,2,unavailable,12054,18000,2,4.016955942875029,8.033911885750058,5,94,True
True,42,2,unavailable,13235,18000,2,4.016955942875029,8.033911885750058,5,68,True
True,42,2,unavailable,3306,18000,2,4.078461755000035,8.15692351000007,5,40,True
True,42,2,unavailable,8913,18000,2,4.078461755000035,8.15692351000007,5,54,True
True,42,2,unavailable,10817,18000,2,4.078461755000035,8.15692351000007,5,98,True
True,42,2,unavailable,17449,18000,2,4.078461755000035,8.15692351000007,5,30,True
True,42,2,unavailable,2012,18000,2,3.628224049874916,7.256448099749832,5,11,True
True,42,2,unavailable,11734,18000,2,3.628224049874916,7.256448099749832,5,63,True
True,42,2,unavailable,12678,18000,2,3.628224049874916,7.256448099749832,5,14,True
True,42,2,unavailable,16653,18000,2,3.628224049874916,7.256448099749832,5,3,False
True,42,10,unavailable,2828,90000,10,3.6010991418249887,36.01099141824989,1,43,False
True,42,10,unavailable,3876,90000,10,3.6010991418249887,36.01099141824989,1,16,False
True,42,10,unavailable,4981,90000,10,3.6010991418249887,36.01099141824989,1,40,False
True,42,10,unavailable,5172,90000,10,3.6010991418249887,36.01099141824989,1,24,False
True,42,10,unavailable,1625,90000,10,3.566241424999953,35.66241424999953,1,73,False
True,42,10,unavailable,11537,90000,10,3.566241424999953,35.66241424999953,1,66,False
True,42,10,unavailable,14783,90000,10,3.566241424999953,35.66241424999953,1,32,False
True,42,10,unavailable,15290,90000,10,3.566241424999953,35.66241424999953,1,38,True
True,42,10,unavailable,1251,90000,10,3.5840730377750334,35.84073037775033,1,32,True
True,42,10,unavailable,1766,90000,10,3.5840730377750334,35.84073037775033,1,2,False
True,42,10,unavailable,2579,90000,10,3.5840730377750334,35.84073037775033,1,28,True
True,42,10,unavailable,12617,90000,10,3.5840730377750334,35.84073037775033,1,72,False
True,42,10,unavailable,1768,90000,10,3.5660650595500103,35.6606505955001,1,31,False
True,42,10,unavailable,5689,90000,10,3.5660650595500103,35.6606505955001,1,59,True
True,42,10,unavailable,12054,90000,10,3.5660650595500103,35.6606505955001,1,94,False
True,42,10,unavailable,13235,90000,10,3.5660650595500103,35.6606505955001,1,68,True
True,42,10,unavailable,3306,90000,10,3.573579751174884,35.73579751174884,1,40,False
True,42,10,unavailable,8913,90000,10,3.573579751174884,35.73579751174884,1,54,False
True,42,10,unavailable,10817,90000,10,3.573579751174884,35.73579751174884,1,98,False
True,42,10,unavailable,17449,90000,10,3.573579751174884,35.73579751174884,1,30,False
True,42,10,unavailable,2012,90000,10,3.5565653068749725,35.565653068749725,1,11,True
True,42,10,unavailable,11734,90000,10,3.5565653068749725,35.565653068749725,1,63,False
True,42,10,unavailable,12678,90000,10,3.5565653068749725,35.565653068749725,1,14,True
True,42,10,unavailable,16653,90000,10,3.5565653068749725,35.565653068749725,1,3,False
