action_plan_exact_match,best_normalized_goal_error,decisions,episode,model_rollouts_cem,model_rollouts_final_inference,receding_horizon,seed,start_step,success
True,0.4162262388604582,2,2828,18000,2,5,-1,43,True
True,0.6103626639253398,2,3876,18000,2,5,-1,16,True
True,0.5066295415574368,2,4981,18000,2,5,-1,40,True
True,0.7400340644679282,2,5172,18000,2,5,-1,24,True
True,0.4392196223110928,2,1625,18000,2,5,-1,73,True
True,0.47168194958193554,2,11537,18000,2,5,-1,66,True
True,0.19941903197873748,2,14783,18000,2,5,-1,32,True
True,0.8096825125004035,2,15290,18000,2,5,-1,38,True
True,0.4996452301474224,2,1251,18000,2,5,-1,32,True
True,1.9906464585063293,2,1766,18000,2,5,-1,2,False
True,0.2599454096267174,2,2579,18000,2,5,-1,28,True
True,1.419550523092767,2,12617,18000,2,5,-1,72,False
True,0.8614540802573046,2,1768,18000,2,5,-1,31,True
True,0.7944074180649032,2,5689,18000,2,5,-1,59,True
True,0.09941424775256878,2,12054,18000,2,5,-1,94,True
True,0.7752206786870249,2,13235,18000,2,5,-1,68,True
True,0.2783803419254457,2,3306,18000,2,5,-1,40,True
True,0.1195295802785975,2,8913,18000,2,5,-1,54,True
True,0.1646589624324978,2,10817,18000,2,5,-1,98,True
True,0.6199475633297087,2,17449,18000,2,5,-1,30,True
True,0.32568695005781423,2,2012,18000,2,5,-1,11,True
True,0.2310694728758481,2,11734,18000,2,5,-1,63,True
True,0.2565168977785305,2,12678,18000,2,5,-1,14,True
True,2.105173563123173,2,16653,18000,2,5,-1,3,False
True,0.4162262388604582,10,2828,90000,10,1,-1,43,False
True,0.6103626639253398,10,3876,90000,10,1,-1,16,False
True,0.5066295415574368,10,4981,90000,10,1,-1,40,False
True,0.7400340644679282,10,5172,90000,10,1,-1,24,False
True,0.4392196223110928,10,1625,90000,10,1,-1,73,False
True,0.47168194958193554,10,11537,90000,10,1,-1,66,False
True,0.19941903197873748,10,14783,90000,10,1,-1,32,False
True,0.8096825125004035,10,15290,90000,10,1,-1,38,True
True,0.4996452301474224,10,1251,90000,10,1,-1,32,True
True,1.9906464585063293,10,1766,90000,10,1,-1,2,False
True,0.2599454096267174,10,2579,90000,10,1,-1,28,True
True,1.419550523092767,10,12617,90000,10,1,-1,72,False
True,0.8614540802573046,10,1768,90000,10,1,-1,31,False
True,0.7944074180649032,10,5689,90000,10,1,-1,59,True
True,0.09941424775256878,10,12054,90000,10,1,-1,94,False
True,0.7752206786870249,10,13235,90000,10,1,-1,68,True
True,0.2783803419254457,10,3306,90000,10,1,-1,40,False
True,0.1195295802785975,10,8913,90000,10,1,-1,54,False
True,0.1646589624324978,10,10817,90000,10,1,-1,98,False
True,0.6199475633297087,10,17449,90000,10,1,-1,30,False
True,0.32568695005781423,10,2012,90000,10,1,-1,11,True
True,0.2310694728758481,10,11734,90000,10,1,-1,63,False
True,0.2565168977785305,10,12678,90000,10,1,-1,14,True
True,2.105173563123173,10,16653,90000,10,1,-1,3,False
