analysis,block_angle_decoder_ceiling_deg,block_angle_error_deg,block_angle_excess_error_deg,block_decoder_ceiling_px,block_error_px,block_excess_error_px,branch_executed,comparison_note,decision_action_offset,decision_index,episode,horizon_actions,latent_block,latent_mse,pusher_decoder_ceiling_px,pusher_error_px,pusher_excess_error_px,real_frame_index,receding_horizon,seed,start_step
decision_forecast,2.6666850484257347,0.2669631623647822,-2.3997218860609526,3.118853146720191,5.023096928127591,1.9042437814073994,True,,0,0,2828,5,1,0.006157655268907547,8.074843990645675,3.324354969399999,-4.750489021245676,5,5,-1,43
decision_forecast,0.21589865306497263,2.4324589632741906,2.216560310209218,0.9483392599023825,0.7251370460654597,-0.22320221383692285,True,,0,0,2828,10,2,0.012278464622795582,4.996454690772379,3.2123092957604236,-1.7841453950119552,10,5,-1,43
decision_forecast,0.39825181444123364,5.580404011367688,5.182152196926454,4.640892044635123,5.225618529605317,0.5847264849701936,True,,0,0,2828,15,3,0.02146480418741703,5.724872014071768,6.883114068157087,1.1582420540853189,15,5,-1,43
decision_forecast,0.7039613015207267,6.705947004486027,6.0019857029653,6.356236460040021,6.784734675850943,0.4284982158109214,True,,0,0,2828,20,4,0.0626010075211525,6.899967913020197,7.39285895843328,0.4928910454130824,20,5,-1,43
decision_forecast,0.31067245925219006,10.888531785337577,10.577859326085386,10.48209254677899,10.81542131106718,0.3333287642881899,True,,0,0,2828,25,5,0.15565188229084015,4.764651873306729,22.106425947356595,17.341774074049866,25,5,-1,43
decision_forecast,4.471432456327197,6.962375125874168,2.4909426695469703,7.873521068814236,11.90647569724768,4.032954628433444,True,,25,1,2828,5,1,0.03426317498087883,20.291919363187144,9.61989292500995,-10.672026438177195,30,5,-1,43
decision_forecast,3.851032713636599,8.820432466927757,4.9693997532911585,6.3971798937159,12.194269244675418,5.797089350959518,True,,25,1,2828,10,2,0.05446837469935417,34.20800377490493,16.51099879344021,-17.697004981464723,35,5,-1,43
decision_forecast,4.7483829667928745,8.713744912092157,3.965361945299282,7.311759493242706,12.510877848807468,5.199118355564762,True,,25,1,2828,15,3,0.043524544686079025,13.068143942703616,12.900830672902194,-0.16731326980142214,40,5,-1,43
decision_forecast,3.3318563744455902,7.289322621064338,3.957466246618748,10.422675422433496,14.959812225280718,4.537136802847222,True,,25,1,2828,20,4,0.044807106256484985,9.595295714168342,21.368297763332876,11.773002049164534,45,5,-1,43
decision_forecast,2.2200381813509145,7.914366892390545,5.69432871103963,11.876848343226165,19.056212912171464,7.179364568945299,True,,25,1,2828,25,5,0.050161074846982956,9.351361681386914,24.865383875188115,15.514022193801202,50,5,-1,43
decision_forecast,1.1727360942444993,8.1474793878514,6.974743293606901,6.989882239006531,14.701668263610006,7.711786024603476,True,,0,0,3876,5,1,0.06408343464136124,5.2771293950830085,12.09606230090726,6.818932905824251,5,5,-1,16
decision_forecast,0.1695364723412364,8.434980613405447,8.26544414106421,10.158607334180513,22.462980075357454,12.304372741176941,True,,0,0,3876,10,2,0.12330744415521622,7.347634044546439,15.719202024823321,8.371567980276883,10,5,-1,16
decision_forecast,0.9900197765781881,5.798541254158865,4.808521477580677,11.059261672649766,24.625365720223492,13.566104047573726,True,,0,0,3876,15,3,0.09578430652618408,7.346276226482152,16.386840505328138,9.040564278845986,15,5,-1,16
decision_forecast,1.0507811394346216,4.396781530797148,3.3460003913625265,10.522399846321582,24.79392678486023,14.271526938538647,True,,0,0,3876,20,4,0.07914070039987564,11.942193941860769,19.332961898450943,7.3907679565901745,20,5,-1,16
decision_forecast,3.243435787548795,4.267363106403747,1.0239273188549518,8.750585877878102,21.9181669757251,13.167581097846998,True,,0,0,3876,25,5,0.04811476543545723,11.57916538926886,22.502719255947948,10.923553866679088,25,5,-1,16
decision_forecast,5.097080826398555,4.67064479575798,-0.4264360306405752,5.637408211879941,6.983754127278982,1.3463459153990414,True,,25,1,3876,5,1,0.003955991938710213,10.538409753719302,16.235085638110238,5.696675884390936,30,5,-1,16
decision_forecast,5.15293811343092,3.541286676874711,-1.6116514365562087,7.585707868152862,9.203233234374505,1.617525366221643,True,,25,1,3876,10,2,0.0059583126567304134,9.483413494821583,18.227212375424422,8.743798880602839,35,5,-1,16
decision_forecast,5.183373436372497,3.480702898936698,-1.7026705374357989,6.179011787965252,9.935195672782433,3.7561838848171805,True,,25,1,3876,15,3,0.007993440143764019,12.333618746505248,19.948337363302947,7.614718616797699,40,5,-1,16
decision_forecast,3.6834502342593565,2.0719080807298678,-1.6115421535294887,7.796940274828767,12.866532653808994,5.069592378980227,True,,25,1,3876,20,4,0.010865678079426289,14.641898277738346,23.19954694713045,8.557648669392105,45,5,-1,16
decision_forecast,3.7933343176265213,0.8517357666421099,-2.9415985509844114,9.121395594064753,17.117176974486306,7.995781380421553,True,,25,1,3876,25,5,0.02411089651286602,12.494313278866757,21.15578389670132,8.661470617834562,50,5,-1,16
decision_forecast,2.0367508348671564,8.733583222029191,6.6968323871620345,11.33750002292496,12.102733025277608,0.7652330023526481,True,,0,0,4981,5,1,0.010051766410470009,2.727850018165165,8.834793708902051,6.106943690736886,5,5,-1,40
decision_forecast,1.1100685583066263,5.571220275078795,4.461151716772168,1.7197630603304384,9.647229130613905,7.927466070283467,True,,0,0,4981,10,2,0.021803326904773712,6.037356467160088,5.447666721844417,-0.5896897453156713,10,5,-1,40
decision_forecast,0.05532342591657734,1.676099995203923,1.6207765692873457,4.798267472762604,7.474469511172757,2.6762020384101524,True,,0,0,4981,15,3,0.023915531113743782,16.632205481059543,14.111801048683018,-2.520404432376525,15,5,-1,40
decision_forecast,0.45991651159145264,0.2554228605623228,-0.20449365102912986,4.180326474145929,5.796352717168352,1.6160262430224233,True,,0,0,4981,20,4,0.028118034824728966,27.993986958570694,18.964802104687955,-9.02918485388274,20,5,-1,40
