batch,episode,local_start,success,final_state_distance,final_block_position_error_px,final_block_angle_error_deg,best_goal_step,best_normalized_goal_error,best_position_error_px,best_block_position_error_px,best_block_angle_error_deg,final_elite_latent_cost,terminal_latent_mse,mean_predicted_latent_mse,terminal_block_error_px,terminal_block_angle_error_deg,offline_terminal_category
0,3876,16,True,90.94137416566358,9.066118705954892,3.5442036244818738,48,0.6103626639253398,12.207253278506796,9.066118705954892,3.5442036244818738,8.698028564453125,0.005808275192975998,0.007519674301147461,8.073318481445312,2.4167532920837402,effective_push
0,5172,24,True,37.93979392505114,12.213772010684401,7.239208540691324,25,0.7400340644679282,14.800681289358563,13.246869988403411,1.5143747339708538,4.3805341720581055,0.010469968430697918,0.008895115181803703,3.901674270629883,1.7558358907699585,effective_push
0,4981,40,True,159.69359310562854,16.46958994083356,21.987467626918715,24,0.5066295415574368,10.132590831148736,10.048305324660737,7.133259430225083,4.185297966003418,0.01162724755704403,0.008044876810163259,4.784180164337158,1.4405415058135986,effective_push
0,2828,43,True,54.613891441415056,4.272899933547617,7.665720685845401,49,0.4162262388604582,8.324524777209163,4.272899933547617,7.665720685845401,11.782907485961914,0.013609007000923157,0.010010532476007939,3.4280707836151123,0.8235569000244141,effective_push
1,14783,32,True,386.1354365238069,0.6993917453756961,1.0826033945989288,23,0.19941903197873748,3.9883806395747494,0.6993917453756961,1.0826033945989288,4.867865085601807,0.015113240107893944,0.009800507221370935,0.2295786738395691,1.4141770601272583,effective_push
1,15290,38,True,178.2673199327985,7.67797799557059,3.853407348464612,23,0.8096825125004035,16.19365025000807,13.020354019902515,0.33472808529699105,7.416935443878174,0.016667423769831657,0.013642858434468507,4.70165491104126,1.8666462898254395,effective_push
1,1625,73,True,43.184579638742925,4.680951263864833,2.3682923887618395,49,0.4392196223110928,8.784392446221856,4.680951263864833,2.3682923887618395,3.7057809829711914,0.017950279638171196,0.013923357240855694,1.5743372440338135,0.4713001251220703,effective_push
1,11537,66,True,78.47551025194048,6.764477558569981,3.2260757375365077,24,0.47168194958193554,9.433638991638711,6.764477558569981,3.2260757375365077,1.1977273225784302,0.019640261307358742,0.012303918413817883,7.094998836517334,0.9813923239707947,free_motion
2,1766,2,False,88.63097698397237,23.71044764528687,8.507773918728006,24,1.9906464585063293,39.81292917012659,24.402188270939646,8.80633039525224,1.4094839096069336,0.023215776309370995,0.011636174470186233,6.326676845550537,4.77570915222168,effective_push
2,12617,72,False,496.65713746061084,0.0,0.0,9,1.419550523092767,28.39101046185534,0.0,0.0,2.4396255016326904,0.027977406978607178,0.020224820263683795,12.651400566101074,14.132207870483398,free_motion
2,1251,32,True,89.47477388766914,8.822963254795646,4.078557212470474,22,0.4996452301474224,9.992904602948448,9.168768156011746,0.050934814823416386,18.59949493408203,0.03202056139707565,0.02078083259984851,4.834475517272949,3.2225754261016846,effective_push
2,2579,28,True,231.26938330860364,2.4662637166815107,3.34194638799577,36,0.2599454096267174,5.198908192534349,2.4662637166815107,3.34194638799577,12.134858131408691,0.03587203472852707,0.018285372853279115,8.386552810668945,0.7499684691429138,free_motion
3,1768,31,True,110.64224893530981,1.8928777613012926,13.241854871373532,24,0.8614540802573046,17.229081605146092,13.367691014242293,1.1931432580119519,35.025718688964844,0.03976503014564514,0.02240049634128809,5.08511209487915,1.4896984100341797,contact_no_motion
3,12054,94,True,40.994697971068966,0.0,0.0,41,0.09941424775256878,1.9882849550513757,0.0,0.0,2.327409029006958,0.043632905930280685,0.022574762906879188,15.769514083862305,0.8061808943748474,effective_push
3,5689,59,True,181.62214592000805,15.47022351152934,3.1342268574007712,26,0.7944074180649032,15.888148361298065,15.47022351152934,3.1342268574007712,2.300934314727783,0.045985471457242966,0.03328552506864071,2.191941976547241,3.264031410217285,free_motion
3,13235,68,True,388.7680904089062,20.851203114210755,16.021384749336338,15,0.7752206786870249,15.504413573740498,0.30534355930287377,15.430136703036458,67.45480346679688,0.048266008496284485,0.033044939115643504,0.8441702723503113,2.6057753562927246,free_motion
4,10817,98,True,166.82889289690013,1.6725331454158097,2.1059636003186344,22,0.1646589624324978,3.293179248649956,1.6725331454158097,2.1059636003186344,16.71364402770996,0.050929199904203415,0.031860445998609065,1.9175571203231812,2.3112950325012207,free_motion
4,3306,40,True,30.994830200111206,4.992006819143465,3.3238260380736424,23,0.2783803419254457,5.567606838508914,4.888618223609219,1.2783223512224988,10.604592323303223,0.05464854836463928,0.027299800887703896,9.246943473815918,7.194859981536865,effective_push
4,8913,54,True,14.569505140712549,0.5361289403823897,0.289217617716691,49,0.1195295802785975,2.39059160557195,0.5361289403823897,0.289217617716691,6.273248672485352,0.06003612279891968,0.026961573865264654,15.53858470916748,0.261514276266098,effective_push
4,17449,30,True,110.15729042487898,8.79433618060678,1.8247938461807047,49,0.6199475633297087,12.398951266594175,8.79433618060678,1.8247938461807047,12.013527870178223,0.07990150153636932,0.028388724010437728,15.645344734191895,8.55920124053955,effective_push
5,11734,63,True,75.60050332644255,0.3744173760369404,0.4839292567205991,24,0.2310694728758481,4.621389457516962,0.3744173760369404,0.4839292567205991,2.1741843223571777,0.08888210356235504,0.03341285907663405,6.731531143188477,4.439698219299316,effective_push
5,12678,14,True,113.5422048744633,2.352336302555383,1.6321123343020332,25,0.2565168977785305,5.13033795557061,2.352336302555383,1.6321123343020332,6.2456793785095215,0.13025641441345215,0.04063532915897668,5.488610744476318,6.346652984619141,effective_push
5,16653,3,False,160.0284204647582,21.895375153373973,26.39695327306189,49,2.105173563123173,42.103471262463465,21.895375153373973,26.39695327306189,3.6050186157226562,0.2363804429769516,0.07572959787212312,16.755590438842773,20.45580291748047,effective_push
5,2012,11,True,209.85877494434226,7.900344395115439,4.313077991547861,48,0.32568695005781423,6.513739001156284,3.568229556315341,5.0237452059887175,2.7483267784118652,1.83111572265625,1.1860118746757506,88.60094451904297,12.362724304199219,contact_no_motion
