episode,local_start,model_step,low_level_time,is_context,transition_category,ground_truth_contact,ground_truth_block_displacement_px,ground_truth_block_angle_displacement_deg,latent_mse,conv_ceiling_psnr_db,conv_prediction_psnr_db,conv_ceiling_ssim,conv_prediction_ssim,conv_ceiling_foreground_iou,conv_prediction_foreground_iou,agent_ceiling_error_px,agent_prediction_error_px,block_ceiling_error_px,block_prediction_error_px,block_ceiling_angle_error_deg,block_prediction_angle_error_deg,block_excess_error_px,block_excess_angle_error_deg
453,28,0,0,True,initial,True,0.0,0.0,2.6552333465615363e-13,29.20166778564453,29.201553344726562,0.9382394552230835,0.9382397532463074,0.8231455087661743,0.8231455087661743,4.854285717010498,4.854316234588623,3.212599515914917,3.2126412391662598,0.001618754817172885,0.001618754817172885,4.172325134277344e-05,0.0
453,28,1,5,True,effective_push,True,16.711441040039062,9.640442848205566,1.0219451153370418e-13,29.530031204223633,29.530139923095703,0.941125214099884,0.9411260485649109,0.8269838690757751,0.8269838690757751,1.0844422578811646,1.0844422578811646,2.9788804054260254,2.9788804054260254,0.17879045009613037,0.17878703773021698,0.0,-3.4123659133911133e-06
453,28,2,10,True,effective_push,True,22.87349510192871,11.773210525512695,1.0441562843304872e-13,29.206279754638672,29.206195831298828,0.9401294589042664,0.9401291608810425,0.8097578883171082,0.8097578883171082,3.3369555473327637,3.3369555473327637,1.5190761089324951,1.5191212892532349,1.5535367727279663,1.5535367727279663,4.5180320739746094e-05,0.0
453,28,3,15,False,effective_push,True,11.119545936584473,4.428831100463867,0.0038041132502257824,29.327045440673828,29.122314453125,0.9406176805496216,0.9393170475959778,0.8064278960227966,0.8029637932777405,3.860830307006836,4.045209884643555,3.5558245182037354,2.1502439975738525,0.2684127688407898,0.5192856192588806,-1.4055805206298828,0.2508728504180908
453,28,4,20,False,free_motion,False,0.0,0.0,0.012074711732566357,27.567459106445312,26.622751235961914,0.934529185295105,0.9298995733261108,0.7793360352516174,0.765570342540741,14.284547805786133,15.945460319519043,6.5082011222839355,3.2752461433410645,0.2503640055656433,0.10760962963104248,-3.232954978942871,-0.14275437593460083
453,28,5,25,False,free_motion,False,0.0,0.0,0.013168692588806152,28.217453002929688,26.902328491210938,0.9362425208091736,0.9307315349578857,0.7890681028366089,0.7730007171630859,10.257889747619629,3.0894689559936523,4.350358009338379,1.4240621328353882,0.39639344811439514,0.17860262095928192,-2.926295757293701,-0.21779082715511322
453,28,6,30,False,free_motion,False,0.0,0.0,0.014900056645274162,29.07042694091797,27.63290023803711,0.9391457438468933,0.9330247044563293,0.8004366159439087,0.7824681401252747,3.831413984298706,9.092175483703613,1.2150670289993286,4.273742198944092,0.5849545001983643,0.7810423970222473,3.0586752891540527,0.19608789682388306
453,28,7,35,False,free_motion,False,0.0,0.0,0.017741596326231956,29.06120491027832,27.577468872070312,0.9395824670791626,0.9333917498588562,0.7988735437393188,0.7826712131500244,4.400451183319092,10.963669776916504,1.3379956483840942,6.492010116577148,0.5742549896240234,0.6957708597183228,5.154014587402344,0.12151587009429932
721,14,0,0,True,initial,False,0.0,0.0,1.5758129122325076e-13,26.95354461669922,26.95354461669922,0.9262271523475647,0.9262275695800781,0.7905713319778442,0.7905713319778442,5.424118518829346,5.424053192138672,1.829893946647644,1.829893946647644,0.19273428618907928,0.19273428618907928,0.0,0.0
721,14,1,5,True,free_motion,False,0.0,0.0,2.1894316329547359e-13,26.9905948638916,26.990589141845703,0.9264897704124451,0.9264891743659973,0.7914698719978333,0.7914698719978333,2.606926441192627,2.606823444366455,3.142709255218506,3.14261794090271,0.5576439499855042,0.5576303005218506,-9.131431579589844e-05,-1.3649463653564453e-05
721,14,2,10,True,free_motion,False,0.0,0.0,1.5038468246294373e-13,27.41924285888672,27.41914939880371,0.9260860085487366,0.9260845184326172,0.8009238839149475,0.8009238839149475,4.443111896514893,4.443129062652588,4.793694019317627,4.793721675872803,0.7770842909812927,0.7770842909812927,2.765655517578125e-05,0.0
721,14,3,15,False,effective_push,True,18.861431121826172,13.34045124053955,0.0033166338689625263,27.742229461669922,27.35874366760254,0.9280607104301453,0.9233359098434448,0.8045942783355713,0.8022943735122681,8.751352310180664,7.136574745178223,8.83813190460205,5.4696784019470215,4.2201828956604,3.9653756618499756,-3.3684535026550293,-0.2548072338104248
721,14,4,20,False,effective_push,True,24.95077133178711,19.1458797454834,0.00531550869345665,27.815465927124023,28.129865646362305,0.927095353603363,0.9290655255317688,0.806734561920166,0.810385525226593,8.153688430786133,12.09934139251709,6.794919013977051,8.169795989990234,0.9000823497772217,0.17880752682685852,1.3748769760131836,-0.7212748527526855
721,14,5,25,False,effective_push,True,21.085275650024414,15.622130393981934,0.007155734114348888,28.26124382019043,28.09508514404297,0.9315844774246216,0.9306756854057312,0.8035264611244202,0.8013838529586792,2.63783860206604,1.8798601627349854,4.1944146156311035,8.292202949523926,2.5214600563049316,1.4636480808258057,4.097788333892822,-1.057811975479126
721,14,6,30,False,effective_push,True,2.803936719894409,1.8460360765457153,0.00991881638765335,27.29471206665039,26.872325897216797,0.926933228969574,0.9253178834915161,0.799136757850647,0.7951511144638062,6.504767417907715,5.774129390716553,5.145139694213867,8.833085060119629,0.26245686411857605,2.5016660690307617,3.6879453659057617,2.2392091751098633
721,14,7,35,False,free_motion,False,0.0,0.0,0.01706952601671219,26.623430252075195,25.7454891204834,0.9248843789100647,0.9200712442398071,0.7849349975585938,0.7757189273834229,3.0089001655578613,5.178802967071533,4.041635036468506,5.016839504241943,2.1189773082733154,4.372154235839844,0.9752044677734375,2.2531769275665283
1161,11,0,0,True,initial,False,0.0,0.0,1.373041627226665e-13,24.335773468017578,24.335601806640625,0.9083379507064819,0.9083376526832581,0.7492256164550781,0.7492256164550781,4.676912307739258,4.676871299743652,3.686065196990967,3.6860878467559814,0.7039466500282288,0.7039568424224854,2.2649765014648438e-05,1.0192394256591797e-05
1161,11,1,5,True,free_motion,False,0.0,0.0,1.9004517740322385e-13,25.646045684814453,25.646305084228516,0.9117999076843262,0.9118009805679321,0.7736346125602722,0.7736346125602722,5.039974689483643,5.0399556159973145,3.093451499938965,3.093468427658081,0.25938326120376587,0.25937986373901367,1.6927719116210938e-05,-3.3974647521972656e-06
1161,11,2,10,True,free_motion,False,0.0,0.0,1.284197357828698e-13,25.670703887939453,25.670730590820312,0.9157615303993225,0.915761411190033,0.7740951180458069,0.7740951180458069,15.369690895080566,15.369690895080566,0.7693238258361816,0.7692835330963135,1.163416862487793,1.1633963584899902,-4.029273986816406e-05,-2.0503997802734375e-05
1161,11,3,15,False,free_motion,False,0.0,0.0,0.002735726535320282,26.41802978515625,26.595020294189453,0.9185693264007568,0.9198076725006104,0.7891021966934204,0.7895777225494385,9.654353141784668,3.311551570892334,4.947147846221924,5.28729248046875,0.6222780346870422,1.596864104270935,0.34014463424682617,0.9745860695838928
1161,11,4,20,False,contact_no_motion,True,0.0,0.0,0.009360672906041145,26.33283233642578,26.243515014648438,0.9159637093544006,0.9156002998352051,0.7997126579284668,0.791827380657196,6.62271785736084,4.804294109344482,12.444914817810059,10.127949714660645,0.3204485774040222,0.8164091110229492,-2.316965103149414,0.495960533618927
1161,11,5,25,False,effective_push,True,22.600200653076172,2.238485097885132,0.011235484853386879,27.669946670532227,26.939096450805664,0.9277995228767395,0.9191588163375854,0.8137397766113281,0.806994616985321,2.460336685180664,3.7723145484924316,6.021955490112305,5.926255702972412,0.6454699635505676,0.02529219165444374,-0.09569978713989258,-0.6201777458190918
